73	16	20	20	17	40	33	3	4	6	2	3	7	3	7	6	3	6	5	4	5	5	3	21.92	27.40	27.40	23.29	54.79	45.21	4.17	5.56	8.33	2.78	4.17	9.72	4.17	9.72	8.33	4.17	8.33	6.94	5.56	6.94	6.94	4.17	30.00	0.4110	-60.70	-0.8315	1.80	0.0246	0.58	0.0080	
86	14	24	27	21	51	35	1	4	8	1	5	9	1	8	6	4	10	7	2	7	8	4	16.28	27.91	31.40	24.42	59.30	40.70	1.18	4.71	9.41	1.18	5.88	10.59	1.18	9.41	7.06	4.71	11.76	8.24	2.35	8.24	9.41	4.71	33.00	0.3837	-46.20	-0.5372	5.58	0.0649	2.23	0.0260	
88	14	24	23	27	47	41	3	4	5	2	2	7	5	10	5	6	5	7	4	7	8	7	15.91	27.27	26.14	30.68	53.41	46.59	3.45	4.60	5.75	2.30	2.30	8.05	5.75	11.49	5.75	6.90	5.75	8.05	4.60	8.05	9.20	8.05	34.00	0.3864	-41.10	-0.4670	6.54	0.0744	2.63	0.0299	
89	22	21	23	23	44	45	3	7	9	2	5	7	1	8	7	2	9	5	6	5	4	8	24.72	23.60	25.84	25.84	49.44	50.56	3.41	7.95	10.23	2.27	5.68	7.95	1.14	9.09	7.95	2.27	10.23	5.68	6.82	5.68	4.55	9.09	32.00	0.3596	-35.80	-0.4022	13.51	0.1519	5.42	0.0609	
85	19	23	22	21	45	40	4	9	1	4	5	3	10	5	4	7	5	6	6	3	6	6	22.35	27.06	25.88	24.71	52.94	47.06	4.76	10.71	1.19	4.76	5.95	3.57	11.90	5.95	4.76	8.33	5.95	7.14	7.14	3.57	7.14	7.14	30.00	0.3529	-40.10	-0.4718	4.08	0.0480	1.61	0.0190	
73	22	24	15	12	39	34	9	5	5	2	9	8	2	5	2	4	6	3	1	7	2	2	30.14	32.88	20.55	16.44	53.42	46.58	12.50	6.94	6.94	2.78	12.50	11.11	2.78	6.94	2.78	5.56	8.33	4.17	1.39	9.72	2.78	2.78	21.00	0.2877	-20.20	-0.2767	12.15	0.1664	4.51	0.0618	
84	20	20	25	19	45	39	3	5	8	3	6	6	0	8	5	5	9	6	5	4	8	2	23.81	23.81	29.76	22.62	53.57	46.43	3.61	6.02	9.64	3.61	7.23	7.23	0.00	9.64	6.02	6.02	10.84	7.23	6.02	4.82	9.64	2.41	34.00	0.4048	-57.70	-0.6869	6.47	0.0770	2.73	0.0325	
97	20	25	26	26	51	46	4	1	8	7	7	3	3	11	9	6	6	5	0	15	9	2	20.62	25.77	26.80	26.80	52.58	47.42	4.17	1.04	8.33	7.29	7.29	3.12	3.12	11.46	9.38	6.25	6.25	5.21	0.00	15.62	9.38	2.08	36.00	0.3711	-40.70	-0.4196	20.42	0.2105	8.40	0.0866	
86	19	21	23	23	44	42	3	3	8	5	9	5	0	7	3	10	4	6	4	2	11	5	22.09	24.42	26.74	26.74	51.16	48.84	3.53	3.53	9.41	5.88	10.59	5.88	0.00	8.24	3.53	11.76	4.71	7.06	4.71	2.35	12.94	5.88	34.00	0.3953	-51.80	-0.6023	2.38	0.0276	0.98	0.0113	
77	15	19	19	24	38	39	4	4	6	0	4	5	3	7	7	5	3	4	0	5	7	12	19.48	24.68	24.68	31.17	49.35	50.65	5.26	5.26	7.89	0.00	5.26	6.58	3.95	9.21	9.21	6.58	3.95	5.26	0.00	6.58	9.21	15.79	28.00	0.3636	-45.80	-0.5948	1.09	0.0142	0.47	0.0061	
80	18	14	27	21	41	39	6	1	8	2	3	5	0	6	6	3	10	8	3	4	9	5	22.50	17.50	33.75	26.25	51.25	48.75	7.59	1.27	10.13	2.53	3.80	6.33	0.00	7.59	7.59	3.80	12.66	10.13	3.80	5.06	11.39	6.33	23.00	0.2875	-26.60	-0.3325	16.08	0.2010	5.51	0.0689	
82	13	19	22	28	41	41	1	4	6	2	5	2	3	8	5	5	6	6	2	8	7	11	15.85	23.17	26.83	34.15	50.00	50.00	1.23	4.94	7.41	2.47	6.17	2.47	3.70	9.88	6.17	6.17	7.41	7.41	2.47	9.88	8.64	13.58	30.00	0.3659	-35.70	-0.4354	3.54	0.0432	1.48	0.0180	
84	17	19	28	20	47	37	2	6	8	1	5	4	3	6	6	3	9	10	4	6	8	2	20.24	22.62	33.33	23.81	55.95	44.05	2.41	7.23	9.64	1.20	6.02	4.82	3.61	7.23	7.23	3.61	10.84	12.05	4.82	7.23	9.64	2.41	29.00	0.3452	-39.30	-0.4679	11.86	0.1412	5.21	0.0620	
84	21	20	20	23	40	44	6	5	7	3	6	4	0	10	5	3	6	5	4	8	7	4	25.00	23.81	23.81	27.38	47.62	52.38	7.23	6.02	8.43	3.61	7.23	4.82	0.00	12.05	6.02	3.61	7.23	6.02	4.82	9.64	8.43	4.82	35.00	0.4167	-57.80	-0.6881	4.84	0.0576	2.05	0.0244	
